id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	0	16	94	135	41	0	119	78	78
3	0	88	135	253	118	0	165	47	47
1	0	0	0	272	113	7	272	166	0
4	0	277	277	345	68	0	68	0	0
5	0	337	345	397	52	0	60	8	8
6	0	401	401	466	62	3	65	6	0
7	0	488	488	598	110	0	110	0	0
9	0	755	762	796	34	0	41	7	7
8	0	592	598	1028	328	73	436	181	6
10	0	882	930	1096	96	20	214	138	48
11	0	1253	1253	1340	82	5	87	10	0
12	0	1374	1374	1390	16	0	16	0	0
13	0	1567	1567	1762	186	9	195	18	0
14	0	1781	1781	1791	10	0	10	0	0
15	0	1956	1956	1972	16	0	16	0	0
16	0	2033	2033	2207	174	0	174	0	0
17	0	2199	2207	2379	161	11	180	30	8
18	0	2340	2379	2386	7	0	46	39	39
19	0	2562	2562	2600	38	0	38	0	0
20	0	2576	2600	2750	149	1	174	26	24
21	0	2723	2750	3122	328	20	399	91	27
22	0	3011	3080	3419	198	20	408	230	69
23	0	3136	3155	3456	39	32	320	313	19
24	0	3145	3157	3515	179	1	370	192	12
25	0	3371	3515	3525	10	0	154	144	144
27	0	3571	3736	3796	60	0	225	165	165
28	0	3584	3796	3941	145	0	357	212	212
29	0	3592	3941	3997	56	0	405	349	349
26	0	3419	3525	4239	453	9	820	376	106
32	0	4196	4313	4410	97	0	214	117	117
30	0	4023	4239	4479	138	1	456	319	216
33	0	4319	4479	4577	98	0	258	160	160
31	0	4045	4308	4578	6	12	533	539	263
34	0	4604	4604	4699	82	13	95	26	0
35	0	4792	4792	4819	27	0	27	0	0
36	0	4940	4940	4942	2	0	2	0	0
37	0	4951	4951	5155	154	33	204	83	0
38	0	5127	5127	5304	167	10	177	20	0
39	0	5444	5444	5559	114	1	115	2	0
40	0	5711	5711	5721	9	1	10	2	0
41	0	5733	5733	6113	152	8	380	236	0
44	0	5997	6136	6274	138	0	277	139	139
45	0	6024	6274	6280	6	0	256	250	250
42	0	5826	5874	6386	282	2	560	280	48
43	0	5929	6113	6394	31	15	465	449	184
46	0	6043	6280	6415	73	1	372	300	237
47	0	6432	6432	6468	36	0	36	0	0
48	0	6782	6782	6941	130	29	159	58	0
49	0	6960	6960	7026	66	0	66	0	0
50	0	7045	7045	7232	46	22	187	163	0
51	0	7047	7069	7278	187	2	231	46	22
52	0	7464	7464	7550	76	10	86	20	0
53	0	7495	7550	7716	50	11	221	182	55
54	0	7512	7587	7760	148	15	248	115	75
55	0	8055	8055	8355	216	84	300	168	0
58	0	8268	8365	8475	110	0	207	97	97
56	0	8236	8355	8863	37	7	627	597	119
61	0	8423	8894	8944	50	0	521	471	471
59	0	8319	8475	9011	196	4	692	500	156
63	0	8707	9011	9056	45	0	349	304	304
66	0	8927	9212	9221	9	0	294	285	285
62	0	8567	8944	9224	24	1	657	634	377
64	0	8773	9056	9518	148	9	745	606	283
60	0	8342	8625	9635	303	21	1293	1011	283
57	0	8245	8358	9670	123	42	1425	1344	113
69	0	9430	9758	9764	6	0	334	328	328
70	0	9432	9764	9848	84	0	416	332	332
0	0	0	0	10015	4295	0	10015	5720	0
