id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	0	79	79	105	26	0	26	0	0
1	0	0	0	166	84	61	166	143	0
3	0	109	118	201	39	28	92	81	9
4	0	691	691	856	141	24	165	48	0
5	0	811	856	863	7	0	52	45	45
6	0	860	863	868	5	0	8	3	3
7	0	947	947	1020	65	8	73	16	0
8	0	1052	1052	1053	1	0	1	0	0
10	0	1642	1642	1656	10	4	14	8	0
9	0	1510	1510	1711	75	126	201	252	0
11	0	1756	1756	1896	134	1	140	7	0
12	0	1811	1852	1906	16	13	95	92	41
13	0	1878	1906	2075	138	31	197	90	28
14	0	2212	2212	2272	48	12	60	24	0
16	0	2416	2486	2603	49	39	187	177	70
15	0	2329	2329	2763	358	76	434	152	0
18	0	2794	2908	2914	6	0	120	114	114
17	0	2786	2786	2936	144	3	150	9	0
20	0	2980	2980	3001	21	0	21	0	0
19	0	2875	2936	3061	104	8	186	90	61
21	0	3198	3198	3236	38	0	38	0	0
22	0	3229	3236	3330	90	4	101	15	7
23	0	3515	3515	3529	14	0	14	0	0
24	0	3517	3529	3570	40	1	53	14	12
25	0	3805	3805	3916	62	49	111	98	0
26	0	4022	4022	4040	17	1	18	2	0
27	0	4060	4060	4084	24	0	24	0	0
28	0	4492	4492	4505	13	0	13	0	0
29	0	4606	4606	4616	10	0	10	0	0
30	0	4848	4848	4881	21	12	33	24	0
33	0	4912	4922	4968	19	8	56	45	10
34	0	4922	4968	4993	25	0	71	46	46
32	0	4891	4924	5018	38	15	127	104	33
31	0	4880	4881	5122	152	32	242	122	1
35	0	5060	5122	5133	11	0	73	62	62
36	0	5136	5136	5217	49	32	81	64	0
37	0	5312	5312	5460	91	57	148	114	0
38	0	5411	5411	5486	38	20	75	57	0
39	0	5841	5841	5878	30	7	37	14	0
40	0	6096	6096	6135	17	22	39	44	0
41	0	6625	6625	6756	87	19	131	63	0
42	0	6693	6693	6813	52	68	120	136	0
43	0	6973	6973	7033	35	25	60	50	0
45	0	7166	7183	7196	13	0	30	17	17
44	0	7165	7165	7269	91	12	104	25	0
48	0	7289	7314	7395	50	14	106	70	25
47	0	7264	7277	7414	83	15	150	82	13
46	0	7262	7269	7438	36	67	176	207	7
50	0	7510	7510	7613	71	16	103	48	0
49	0	7352	7438	7680	140	38	328	226	86
51	0	7691	7691	7768	39	38	77	76	0
52	0	7756	7768	7928	120	40	172	92	12
53	0	7943	7943	8024	78	3	81	6	0
54	0	8075	8075	8080	5	0	5	0	0
55	0	8297	8297	8330	33	0	33	0	0
56	0	8332	8332	8353	11	10	21	20	0
57	0	8439	8439	8545	43	63	106	126	0
58	0	8541	8545	8551	6	0	10	4	4
59	0	8739	8739	8772	33	0	33	0	0
60	0	8758	8772	8830	51	7	72	28	14
61	0	9024	9024	9167	138	5	143	10	0
62	0	9050	9106	9197	34	3	147	116	56
63	0	9243	9243	9280	24	13	37	26	0
64	0	9548	9548	9602	54	0	54	0	0
65	0	9723	9723	9756	33	0	33	0	0
66	0	9984	9984	9991	7	0	7	0	0
0	0	0	0	10035	6398	0	10035	3637	0
