id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	0	79	79	96	17	0	17	0	0
1	0	0	0	121	57	61	121	125	0
3	0	109	109	164	27	28	55	56	0
4	0	691	691	809	94	24	118	48	0
5	0	811	811	816	5	0	5	0	0
6	0	860	860	863	3	0	3	0	0
7	0	947	947	999	44	8	52	16	0
8	0	1052	1052	1053	1	0	1	0	0
10	0	1642	1642	1653	7	4	11	8	0
9	0	1510	1510	1686	50	126	176	252	0
12	0	1811	1811	1835	11	13	24	26	0
11	0	1756	1756	1858	90	1	102	13	0
13	0	1878	1878	2002	93	31	124	62	0
14	0	2212	2212	2257	33	12	45	24	0
16	0	2416	2416	2506	33	39	90	96	0
15	0	2329	2329	2676	240	76	347	183	0
18	0	2794	2794	2798	4	0	4	0	0
17	0	2786	2786	2890	97	3	104	10	0
19	0	2875	2875	2968	70	8	93	31	0
20	0	2980	2980	2994	14	0	14	0	0
21	0	3198	3198	3223	25	0	25	0	0
22	0	3229	3229	3294	61	4	65	8	0
23	0	3515	3515	3545	10	0	30	20	0
24	0	3517	3517	3554	28	1	37	10	0
25	0	3805	3805	3895	41	49	90	98	0
26	0	4022	4022	4035	12	1	13	2	0
27	0	4060	4060	4076	16	0	16	0	0
28	0	4492	4492	4501	9	0	9	0	0
29	0	4606	4606	4613	7	0	7	0	0
30	0	4848	4848	4874	14	12	26	24	0
34	0	4922	4922	4939	17	0	17	0	0
32	0	4891	4891	4949	26	15	58	47	0
33	0	4912	4912	4961	14	8	49	43	0
35	0	5060	5060	5068	8	0	8	0	0
31	0	4880	4880	5078	101	32	198	129	0
36	0	5136	5136	5202	34	32	66	64	0
37	0	5312	5312	5429	60	57	117	114	0
38	0	5411	5411	5470	26	20	59	53	0
39	0	5841	5841	5868	20	7	27	14	0
40	0	6096	6096	6130	12	22	34	44	0
41	0	6625	6625	6722	58	19	97	58	0
42	0	6693	6693	6796	35	68	103	136	0
43	0	6973	6973	7022	24	25	49	50	0
45	0	7166	7166	7175	9	0	9	0	0
44	0	7165	7165	7247	61	12	82	33	0
48	0	7289	7289	7358	34	14	69	49	0
46	0	7262	7262	7394	25	67	132	174	0
47	0	7264	7264	7407	56	15	143	102	0
49	0	7352	7352	7530	93	38	178	123	0
50	0	7510	7510	7574	48	16	64	32	0
51	0	7691	7691	7755	26	38	64	76	0
52	0	7756	7756	7876	80	40	120	80	0
53	0	7943	7943	7998	52	3	55	6	0
54	0	8075	8075	8078	3	0	3	0	0
55	0	8297	8297	8319	22	0	22	0	0
56	0	8332	8332	8350	8	10	18	20	0
57	0	8439	8439	8531	29	63	92	126	0
58	0	8541	8541	8545	4	0	4	0	0
59	0	8739	8739	8781	22	0	42	20	0
60	0	8758	8758	8802	34	7	44	17	0
62	0	9050	9050	9076	23	3	26	6	0
61	0	9024	9024	9144	92	5	120	33	0
63	0	9243	9243	9272	16	13	29	26	0
64	0	9548	9548	9584	36	0	36	0	0
65	0	9723	9723	9745	22	0	22	0	0
66	0	9984	9984	9989	5	0	5	0	0
0	0	0	0	10035	7587	0	10035	2448	0
