id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	0	6	24	35	11	0	29	18	18
3	0	30	35	65	30	0	35	5	5
1	0	0	0	70	29	7	70	48	0
4	0	93	93	110	17	0	17	0	0
5	0	113	113	126	13	0	13	0	0
6	0	135	135	155	17	3	20	6	0
7	0	164	164	192	28	0	28	0	0
9	0	254	254	263	9	0	9	0	0
8	0	199	199	356	84	73	157	146	0
10	0	297	325	373	24	20	76	72	28
11	0	421	421	447	21	5	26	10	0
12	0	462	462	466	4	0	4	0	0
13	0	527	527	584	48	9	57	18	0
14	0	599	599	602	3	0	3	0	0
15	0	658	658	662	4	0	4	0	0
16	0	684	684	728	44	0	44	0	0
17	0	740	740	792	41	11	52	22	0
18	0	787	792	794	2	0	7	5	5
19	0	861	861	871	10	0	10	0	0
20	0	866	871	910	38	1	44	7	5
21	0	915	915	1022	83	20	107	44	0
22	0	1011	1011	1082	51	20	71	40	0
24	0	1056	1083	1129	45	1	73	29	27
23	0	1053	1082	1139	11	32	86	107	29
25	0	1132	1139	1142	3	0	10	7	7
27	0	1199	1201	1216	15	0	17	2	2
28	0	1204	1216	1253	37	0	49	12	12
29	0	1207	1253	1267	14	0	60	46	46
26	0	1148	1148	1328	114	9	180	75	0
30	0	1351	1351	1389	36	1	38	3	0
31	0	1359	1369	1390	3	12	31	40	10
32	0	1410	1410	1435	25	0	25	0	0
33	0	1451	1451	1476	25	0	25	0	0
34	0	1546	1546	1581	22	13	35	26	0
35	0	1609	1609	1616	7	0	7	0	0
36	0	1659	1659	1660	1	0	1	0	0
37	0	1663	1663	1736	40	33	73	66	0
38	0	1722	1722	1774	42	10	52	20	0
39	0	1828	1828	1858	29	1	30	2	0
40	0	1917	1917	1921	3	1	4	2	0
41	0	1925	1925	2021	39	8	96	65	0
44	0	2014	2027	2062	35	0	48	13	13
42	0	1956	1961	2076	71	2	120	51	5
45	0	2023	2076	2078	2	0	55	53	53
43	0	1991	2021	2093	8	15	102	109	30
46	0	2030	2078	2099	19	1	69	51	48
47	0	2160	2160	2169	9	0	9	0	0
48	0	2277	2277	2340	34	29	63	58	0
49	0	2337	2340	2357	17	0	20	3	3
50	0	2366	2366	2414	12	22	48	58	0
51	0	2367	2372	2426	48	2	59	13	5
52	0	2506	2506	2546	20	10	40	30	0
53	0	2517	2517	2551	14	11	34	31	0
54	0	2523	2546	2599	38	15	76	53	23
56	0	2765	2765	2782	10	7	17	14	0
58	0	2776	2790	2818	28	0	42	14	14
61	0	2828	2925	2938	13	0	110	97	97
55	0	2704	2704	2968	54	84	264	294	0
59	0	2793	2823	2980	50	4	187	141	30
63	0	2923	3001	3013	12	0	90	78	78
57	0	2768	2768	3022	32	42	254	264	0
62	0	2876	2980	3036	7	1	160	154	104
66	0	2997	3036	3039	3	0	42	39	39
60	0	2801	2861	3050	77	21	249	193	60
64	0	2945	3022	3124	38	9	179	150	77
67	0	3039	3050	3173	59	12	134	87	11
65	0	2964	3030	3186	37	65	222	250	66
69	0	3166	3186	3188	2	0	22	20	20
70	0	3167	3188	3209	21	0	42	21	21
68	0	3149	3150	3259	56	22	110	76	1
71	0	3176	3209	3289	18	14	113	109	33
73	0	3272	3289	3299	10	0	27	17	17
72	0	3226	3259	3306	28	11	80	63	33
77	0	3376	3387	3404	17	0	28	11	11
75	0	3336	3356	3425	46	4	89	47	20
74	0	3333	3333	3427	25	33	94	102	0
76	0	3344	3381	3447	26	29	103	106	37
79	0	3572	3573	3591	18	0	19	1	1
78	0	3508	3508	3639	32	80	131	179	0
81	0	3673	3673	3674	1	0	1	0	0
82	0	3734	3737	3746	9	0	12	3	3
80	0	3605	3605	3758	57	96	153	192	0
84	0	3843	3847	3906	59	0	63	4	4
83	0	3769	3769	3914	39	69	145	175	0
85	0	3917	3917	3934	11	6	17	12	0
87	0	4010	4013	4083	50	7	73	30	3
86	0	3971	3971	4111	76	43	140	107	0
88	0	4133	4133	4135	2	0	2	0	0
89	0	4163	4163	4190	27	0	27	0	0
90	0	4229	4229	4295	40	26	66	52	0
91	0	4352	4352	4353	1	0	1	0	0
92	0	4374	4374	4391	17	0	17	0	0
94	0	4466	4466	4510	44	0	44	0	0
95	0	4497	4512	4516	4	0	19	15	15
93	0	4455	4455	4546	27	31	91	95	0
96	0	4530	4546	4563	8	9	33	34	16
97	0	4620	4620	4639	19	0	19	0	0
98	0	4626	4639	4645	6	0	19	13	13
99	0	4765	4765	4806	38	3	41	6	0
100	0	4868	4868	4869	1	0	1	0	0
0	0	0	0	4869	2165	0	4869	2704	0
