id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	11	0	0	104	43	61	104	122	0
2	5	131	131	144	13	0	13	0	0
3	4	181	181	229	20	28	48	56	0
4	12	1151	1151	1246	71	24	95	48	0
5	5	1351	1351	1355	4	0	4	0	0
6	5	1432	1432	1435	3	0	3	0	0
7	12	1576	1576	1617	33	8	41	16	0
8	5	1750	1750	1751	1	0	1	0	0
9	4	2512	2512	2677	39	126	165	252	0
10	5	2731	2731	2741	6	4	10	8	0
11	27	2920	2920	2988	67	1	68	2	0
12	4	3011	3011	3032	8	13	21	26	0
13	13	3123	3123	3223	69	31	100	62	0
14	7	3679	3679	3715	24	12	36	24	0
16	11	4018	4020	4089	25	39	71	85	2
15	39	3873	3873	4129	180	76	256	152	0
18	5	4647	4695	4698	3	0	51	48	48
17	33	4634	4634	4709	72	3	75	6	0
19	14	4782	4782	4842	52	8	60	16	0
20	5	4957	4957	4968	11	0	11	0	0
21	5	5320	5320	5339	19	0	19	0	0
22	4	5371	5371	5421	46	4	50	8	0
23	5	5847	5847	5854	7	0	7	0	0
24	12	5850	5854	5876	21	1	26	6	4
25	8	6330	6330	6410	31	49	80	98	0
26	6	6692	6692	6702	9	1	10	2	0
27	5	6756	6756	6768	12	0	12	0	0
28	5	7476	7476	7483	7	0	7	0	0
29	5	7665	7665	7670	5	0	5	0	0
30	4	8067	8067	8090	11	12	23	24	0
32	6	8138	8141	8176	20	15	38	33	3
33	3	8173	8176	8202	10	8	29	27	3
34	5	8190	8202	8215	13	0	25	12	12
31	13	8120	8120	8248	77	32	128	83	0
35	5	8420	8420	8426	6	0	6	0	0
36	5	8546	8546	8604	26	32	58	64	0
37	12	8839	8839	8942	46	57	103	114	0
38	8	9004	9004	9044	20	20	40	40	0
39	5	9721	9721	9744	16	7	23	14	0
0	0	0	0	10146	9000	0	10146	1146	0
